scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
84,342.88702392578125,148.00604248046875,1.0,354.06121826171875,174.11004638671875,1.0,356.5177307128906,156.2859344482422,1.0,340.0921325683594,165.90106201171875,1.0,303.9486999511719,136.52076721191406,1.0
85,342.9725341796875,147.89285278320312,1.0,353.1761169433594,173.13401794433594,1.0,356.55914306640625,156.5448455810547,1.0,340.19036865234375,165.88319396972656,1.0,303.8883972167969,136.2355499267578,1.0
86,342.2342529296875,148.45957946777344,1.0,354.16302490234375,174.2327117919922,1.0,356.0540466308594,156.56008911132812,1.0,339.7930908203125,166.08839416503906,1.0,303.52197265625,136.21327209472656,1.0
87,342.7705383300781,148.56265258789062,1.0,352.6564025878906,172.8587646484375,1.0,355.6737365722656,156.9189453125,1.0,340.1850891113281,165.86016845703125,1.0,304.7112121582031,134.99588012695312,1.0
88,341.9340515136719,148.16744995117188,1.0,353.44927978515625,174.16864013671875,1.0,355.7686462402344,156.5234375,1.0,339.577880859375,166.05258178710938,1.0,304.0269775390625,135.63717651367188,1.0
89,342.0577697753906,148.1730499267578,1.0,353.6965637207031,174.5006103515625,1.0,356.32769775390625,156.469970703125,1.0,339.8866882324219,166.25746154785156,1.0,303.1944274902344,135.99166870117188,1.0
90,342.5480041503906,148.39004516601562,1.0,353.77496337890625,174.20770263671875,1.0,356.34716796875,156.75836181640625,1.0,340.08306884765625,166.0745086669922,1.0,303.7927551269531,135.68362426757812,1.0
91,343.0232238769531,148.8937530517578,1.0,353.6543884277344,174.19784545898438,1.0,355.8404235839844,156.95751953125,1.0,340.4889221191406,165.948974609375,1.0,304.9051513671875,134.68626403808594,1.0
92,342.7346496582031,148.04803466796875,1.0,353.8826599121094,173.71908569335938,1.0,356.0732421875,156.40103149414062,1.0,339.8871765136719,165.43406677246094,1.0,304.763671875,135.48928833007812,1.0
93,342.7755126953125,148.39111328125,1.0,353.8272399902344,172.1955108642578,1.0,356.803955078125,155.9658966064453,1.0,340.3489685058594,165.8639678955078,1.0,305.087646484375,134.28988647460938,1.0
